datedd|OPERATOR_NAME|COUNTRY_NAME|numuser|active_user|trafficmb|session|duration_s|s5s8_create_session_success_rate|s6a_loc_update_success_rate|dl_retransmitted_packet_rate|ul_retransmitted_packet_rate|internal_Latency|external_latency
2024-12-13|ALL|Taiwan (China)|27131|1576|8850412.211665154|3056166|88511445.27200003|90.63903478047514|100.0||||
2024-12-13|ALL|Slovenia|30|3|943.6852378845216|14893|22058.018000000004|0.0882732396278943|100.0||||
2024-12-13|ALL|Germany|4549|539|2541738.699154854|3243307|36325510.62599986|96.96023227718344|99.2477668077104||||
2024-12-13|ALL|Portugal|504|33|78263.07794857025|29333|1058131.6769999997|77.6639344262295|100.0||||
2024-12-13|ALL|Italy|1716|308|1688959.150797844|249074|20214419.829|91.9564549301435|100.0||||
2024-12-13|ALL|Greece|813|87|514481.95311546326|68775|6628082.220999996|82.75939052296701|100.0||||
2024-12-13|ALL|Luxembourg|28|3|3682.014899253845|524|37031.011000000006|84.31372549019608|100.0||||
2024-12-13|ALL|Slovak Republic|214|12|8665.21388053894|6772|161915.67200000002|58.5598824393828|100.0||||
2024-12-13|ALL|Algeria|161|17|230058.8536863327|84189|5715144.916999974|95.33667223149696|100.0||||
2024-12-13|ALL|Nepal|86|22|40318.44365310669|51484|864142.7900000002|84.90115001938236|100.0||||
2024-12-13|ALL|Brunei|3149|338|1843211.384885788|247161|18547977.18300001|55.07039684250675|100.0||||
2024-12-13|ALL|Malta|181|4|4149.324817657471|6768|47352.654999999984|80.76760860396458|100.0||||
2024-12-13|ALL|Finland|320|83|147653.17380428314|1190090|2802527.2690000013|99.93264072418096|100.0||||
2024-12-13|ALL|Hungary|692|73|214384.51050949097|30102|1716805.3859999992|77.97383899569836|100.0||||
2024-12-13|ALL|Hongkong|13684|2470|9202831.415060995|4591249|95952342.58200002|70.58010973099817|99.97500208315974||||
2024-12-13|ALL|Kenya|78|4|4053.9257345199594|4469|49310.9|77.61413843888072|100.0||||
2024-12-13|ALL|Gambia|6|0||1386||0.2911208151382824|||||
2024-12-13|ALL||2555|524|1232056.2248249054|180535|20604612.599999987|90.90447232699562|100.0||||
2024-12-13|ALL|Denmark|350|67|69992.68388652802|10841|922685.093|79.07145447950671|100.0||||
2024-12-13|ALL|South Africa|604|58|253046.21707725525|43239|4257907.400999999|93.4451674526894|100.0||||
2024-12-13|ALL|Sri Lanka|574|132|275378.8129463196|45058|3268356.4909999995|82.74350140933292|100.0||||
2024-12-13|ALL|Maldives|497|41|136153.6315755844|252695|2227025.143000001|0.4415819104325463|99.85870500061432||||
2024-12-13|ALL|East Timor|10443|4293|10507793.615289688|903382|144275159.736|88.32561833889984|99.98219056099732||||
2024-12-13|ALL|Bangladesh|438|68|369398.6909189224|58529|4319955.346999999|84.50246661051618|100.0||||
2024-12-13|ALL|Indonesia|1|1|948.1814012527466|24|5512.257||||||
2024-12-13|ALL|United Arab Emirates|11366|2306|9072646.87278366|2049779|119904288.35299988|82.33814408709078|99.93429481914649||||
2024-12-13|ALL|Romania|227|19|15264.638083457949|10975|474524.2259999999|48.88705688375927|100.0||||
2024-12-13|ALL|Oman|1353|343|1377840.8030452728|740873|19755641.97600001|79.26597455768388|100.0||||
2024-12-13|ALL|Latvia|26|4|29661.09058666229|3439|337830.2849999999|83.28445747800586|||||
2024-12-13|ALL|Pakistan|920|77|206602.46209049225|84721|5217544.130000006|94.5180132786707|100.0||||
2024-12-13|ALL|United States of America(311)|5977|851|1224610.8082914352|668636|18868287.388999958|89.61940831865479|99.9610642439974||||
2024-12-13|ALL|Bosnia and Herzegovina|23|0||11929||1.445501885437242|100.0||||
2024-12-13|ALL|Switzerland|1041|322|1573647.224738121|1163124|22074657.34200005|2.031638681152754|99.87375612654093||||
2024-12-13|ALL|Peru|50|0||4901||71.6944552151997|100.0||||
2024-12-13|ALL|CAMBODIA|170225|1458|1414677.6507720947|4065846|22608543.97100001|69.08556657233686|99.89983927697934||||
2024-12-13|ALL|Moldova (Republic of)|9|0||237||59.25925925925925|100.0||||
2024-12-13|ALL|Japan(440)|36453|4716|14455898.316046717|83016374|178063452.38799995|94.58743840936992|99.97882045427544||||
